 0,Benu,Restaurant,37.78561,-122.39906,American,
0,Benu,Restaurant,37.78561,-122.39906,Asian,
0,Benu,Restaurant,37.78561,-122.39906,French,
0,Benu,Restaurant,37.78561,-122.39906,North American,
1,City Beer Store,Shop,37.775772,-122.409319,American,
1,City Beer Store,Shop,37.775772,-122.409319,Asian,
1,City Beer Store,Shop,37.775772,-122.409319,Japanese,
2,Bottom of the Hill,Theatre, Music & Culture,37.764919,-122.396408,American,
2,Bottom of the Hill,Theatre, Music & Culture,37.764919,-122.396408,Barbecue,
3,Mr. and Mrs. Miscellaneous,Restaurant,37.757815,-122.388034,Ice cream,
4,Hog Island Oyster,Restaurant,37.795403,-122.393817,Seafood,
4,Hog Island Oyster,Restaurant,37.795403,-122.393817,Soup,
5,Yield Wine Bar,Bar/Pub,37.758156,-122.388618,,
6,Red Blossom Tea Company,Food & Drink,37.79477,-122.40639,,
7,Recchiuti Confections,Food & Drink,37.795403,-122.393817,,
8,Hole In The Wall Saloon,Restaurant,37.77289,-122.41228,,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Asian,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Chinese,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Greek,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Japanese,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Mediterranean,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Mexican,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Seafood,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Southeast Asian,
9,Kokkari Restaurant,Restaurant,37.797,-122.39988,Thai,
10,Saigon Sandwiches,Restaurant,37.782928,-122.417273,Asian,
10,Saigon Sandwiches,Restaurant,37.782928,-122.417273,Sandwiches,
10,Saigon Sandwiches,Restaurant,37.782928,-122.417273,Southeast Asian,
10,Saigon Sandwiches,Restaurant,37.782928,-122.417273,Vietnamese,
11,Butler & the Chef,Snacks/Fast food,37.78089,-122.39421,Breakfast,
11,Butler & the Chef,Snacks/Fast food,37.78089,-122.39421,French,
11,Butler & the Chef,Snacks/Fast food,37.78089,-122.39421,Lunch,
11,Butler & the Chef,Snacks/Fast food,37.78089,-122.39421,Sandwiches,
12,Lone Star Saloon,Theatre, Music & Culture,37.772049,-122.410886,,
13,Boulevard,Restaurant,37.79337,-122.39274,American,
13,Boulevard,Restaurant,37.79337,-122.39274,Continental,
13,Boulevard,Restaurant,37.79337,-122.39274,French,
13,Boulevard,Restaurant,37.79337,-122.39274,Ice cream,
13,Boulevard,Restaurant,37.79337,-122.39274,Lunch,
13,Boulevard,Restaurant,37.79337,-122.39274,Seafood,
14,The Endup,Dance or Nightclub,37.777307,-122.403847,,
15,Warfield Theatre,Theatre, Music & Culture,37.78268,-122.41033,,
16,Molinari Delicatessen,Snacks/Fast food,37.79838,-122.40782,Italian,
16,Molinari Delicatessen,Snacks/Fast food,37.79838,-122.40782,Sandwiches,
17,The Stud,Dance or Nightclub,37.77281,-122.40998,,
18,Blue Bottle Coffee,Restaurant,37.776235,-122.423196,Tapas,
19,Mars Bar & Restaurant,Restaurant,37.77334,-122.40323,American,
19,Mars Bar & Restaurant,Restaurant,37.77334,-122.40323,Grill,
20,La Palma,Restaurant,37.75297,-122.40994,Mexican,
21,Thee Parkside,Restaurant,37.76516,-122.39988,American,
21,Thee Parkside,Restaurant,37.76516,-122.39988,Grill,
22,Dottie's True Blue Cafe,Restaurant,37.78167,-122.40998,American,
22,Dottie's True Blue Cafe,Restaurant,37.78167,-122.40998,Breakfast,
22,Dottie's True Blue Cafe,Restaurant,37.78167,-122.40998,Greek,
22,Dottie's True Blue Cafe,Restaurant,37.78167,-122.40998,Mexican,
23,Acquerello,Restaurant,37.79157,-122.42133,Italian,
23,Acquerello,Restaurant,37.79157,-122.42133,North American,
23,Acquerello,Restaurant,37.79157,-122.42133,Seafood,
24,Aunt Charlie's Lounge,Theatre, Music & Culture,37.782841,-122.411377,,
25,Zero Zero,Restaurant,37.78163,-122.40204,Italian,
25,Zero Zero,Restaurant,37.78163,-122.40204,Pizza,
26,Gangway,Restaurant,37.78581,-122.41828,,
27,Tortas los Picudos,Restaurant,37.75254,-122.41135,Mexican,
27,Tortas los Picudos,Restaurant,37.75254,-122.41135,Sandwiches,
28,Tropisueno,Restaurant,37.78543,-122.40436,Mexican,
29,Ramp Restaurant,Restaurant,37.76541,-122.38669,American,
29,Ramp Restaurant,Restaurant,37.76541,-122.38669,Barbecue,
29,Ramp Restaurant,Restaurant,37.76541,-122.38669,Burgers,
29,Ramp Restaurant,Restaurant,37.76541,-122.38669,Lunch,
29,Ramp Restaurant,Restaurant,37.76541,-122.38669,Sandwiches,
29,Ramp Restaurant,Restaurant,37.76541,-122.38669,Seafood,
